sakinys,stilius,struktūra,veiksmažodžio_kategorija,daiktavardžio_kategorija
tu žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
tu žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
tu žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
tu žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tu žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tu žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tu žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tu žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tu žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tu žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
jis žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
jis žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
jis žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
jis žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
jis žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
jis žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
jis žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
jis žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
jis žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
jis žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
jis žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
jis žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
ji žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
ji žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
ji žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
ji žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
ji žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
ji žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
ji žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
ji žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
ji žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
ji žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
ji žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
ji žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mama žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mama žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mama žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mama žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
mama žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
mama žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mama žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mama žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mama žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mama žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mama žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mama žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tėtis žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
tėtis žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
tėtis žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
tėtis žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
tėtis žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
tėtis žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tėtis žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tėtis žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tėtis žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
tėtis žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tėtis žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
tėtis žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
draugas žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
draugas žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
draugas žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
draugas žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
draugas žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
draugas žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
draugas žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
draugas žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
draugas žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
draugas žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
draugas žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
draugas žaisti mokytoja,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mokytoja žaisti kamuolys,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mokytoja žaisti žaislas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mokytoja žaisti telefonas,telegrafinis,VEK+žaisti+OBJ,žaisti,objektai
mokytoja žaisti šuo,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
mokytoja žaisti katė,telegrafinis,VEK+žaisti+OBJ,žaisti,gyvūnai
mokytoja žaisti aš,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mokytoja žaisti tu,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mokytoja žaisti jis,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mokytoja žaisti ji,telegrafinis,VEK+žaisti+ZM,žaisti,įvardžiai
mokytoja žaisti mama,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mokytoja žaisti tėtis,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
mokytoja žaisti draugas,telegrafinis,VEK+žaisti+ZM,žaisti,žmonės
aš piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
aš piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
aš piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
aš piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
tu piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
tu piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
tu piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
tu piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
jis piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
jis piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
jis piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
jis piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
ji piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
ji piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
ji piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
ji piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
mama piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
mama piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
mama piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
mama piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
tėtis piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
tėtis piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
tėtis piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
tėtis piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
draugas piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
draugas piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
draugas piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
draugas piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
mokytoja piešti knyga,telegrafinis,VEK+piešti+OBJ,piešti,objektai
mokytoja piešti mokykla,telegrafinis,VEK+piešti+VIT,piešti,vietos
mokytoja piešti namai,telegrafinis,VEK+piešti+VIT,piešti,vietos
mokytoja piešti kiemas,telegrafinis,VEK+piešti+VIT,piešti,vietos
aš skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
tu skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
jis skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
ji skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
mama skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
tėtis skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
draugas skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
mokytoja skaityti knyga,telegrafinis,VEK+skaityti+knyga,skaityti,objektai
aš žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
tu žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
jis žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
ji žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
mama žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
tėtis žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
draugas žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
mokytoja žiūrėti telefonas,telegrafinis,VEK+žiūrėti+OBJ,žiūrėti,objektai
aš kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
aš kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
aš kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
aš kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
aš kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
aš kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
aš kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
aš kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
aš kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
tu kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tu kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tu kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tu kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tu kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tu kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tu kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tu kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
tu kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
jis kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
jis kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
jis kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
jis kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
jis kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
jis kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
jis kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
jis kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
jis kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
ji kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
ji kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
ji kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
ji kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
ji kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
ji kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
ji kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
ji kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
ji kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
mama kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mama kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mama kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mama kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mama kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mama kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mama kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mama kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
mama kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
tėtis kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tėtis kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tėtis kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tėtis kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
tėtis kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tėtis kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tėtis kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
tėtis kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
tėtis kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
draugas kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
draugas kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
draugas kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
draugas kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
draugas kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
draugas kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
draugas kalbėti mokytoja,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
draugas kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
draugas kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
mokytoja kalbėti aš,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mokytoja kalbėti tu,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mokytoja kalbėti jis,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mokytoja kalbėti ji,telegrafinis,VEK+kalbėti+ZM,kalbėti,įvardžiai
mokytoja kalbėti mama,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mokytoja kalbėti tėtis,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mokytoja kalbėti draugas,telegrafinis,VEK+kalbėti+ZM,kalbėti,žmonės
mokytoja kalbėti šuo,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
mokytoja kalbėti katė,telegrafinis,VEK+kalbėti+ZM,kalbėti,gyvūnai
aš valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
aš valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
tu valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
tu valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
jis valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
jis valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
ji valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
ji valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
mama valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
mama valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
tėtis valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
tėtis valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
draugas valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
draugas valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
mokytoja valgyti obuolys,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
mokytoja valgyti sumuštinis,telegrafinis,VEK+valgyti+OBJ,valgyti,maistas
aš gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
aš gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
tu gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
tu gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
jis gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
jis gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
ji gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
ji gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
mama gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
mama gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
tėtis gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
tėtis gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
draugas gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
draugas gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
mokytoja gerti vanduo,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
mokytoja gerti sultys,telegrafinis,VEK+gerti+OBJ,gerti,gėrimai
aš miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
aš miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
tu miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
tu miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
jis miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
jis miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
ji miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
ji miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
mama miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
mama miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
tėtis miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
tėtis miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
draugas miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
draugas miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
mokytoja miegoti namai,telegrafinis,VEK+miegoti+VIT,miegoti,vietos
mokytoja miegoti svetainė,telegrafinis,VEK+miegoti+VIT,miegoti,kambariai
ne valgyti obuolys,telegrafinis,ne+VKS+OBJ,valgyti,maistas
ne valgyti sumuštinis,telegrafinis,ne+VKS+OBJ,valgyti,maistas
ne gerti vanduo,telegrafinis,ne+VKS+OBJ,gerti,gėrimai
ne gerti sultys,telegrafinis,ne+VKS+OBJ,gerti,gėrimai
ne žaisti kamuolys,telegrafinis,ne+VKS+OBJ,žaisti,objektai
ne žaisti žaislas,telegrafinis,ne+VKS+OBJ,žaisti,objektai
ne eiti mokykla,telegrafinis,ne+VKS+OBJ,eiti,vietos
ne eiti parduotuvė,telegrafinis,ne+VKS+OBJ,eiti,vietos
ne eiti kiemas,telegrafinis,ne+VKS+OBJ,eiti,vietos
ne eiti namai,telegrafinis,ne+VKS+OBJ,eiti,vietos
šuo eiti kiemas,telegrafinis,GYV+eiti+VIT,eiti,vietos
šuo eiti namai,telegrafinis,GYV+eiti+VIT,eiti,vietos
šuo eiti virtuvė,telegrafinis,GYV+eiti+VIT,eiti,kambariai
šuo eiti svetainė,telegrafinis,GYV+eiti+VIT,eiti,kambariai
šuo valgyti obuolys,telegrafinis,GYV+valgyti+OBJ,valgyti,maistas
šuo valgyti sumuštinis,telegrafinis,GYV+valgyti+OBJ,valgyti,maistas
šuo gerti vanduo,telegrafinis,GYV+gerti+vanduo,gerti,gėrimai
šuo žaisti kamuolys,telegrafinis,GYV+žaisti+OBJ,žaisti,objektai
šuo žaisti žaislas,telegrafinis,GYV+žaisti+OBJ,žaisti,objektai
šuo žaisti mama,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
šuo žaisti tėtis,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
šuo žaisti draugas,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
šuo žaisti mokytoja,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
šuo žaisti aš,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
šuo žaisti tu,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
šuo žaisti jis,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
šuo žaisti ji,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
katė eiti kiemas,telegrafinis,GYV+eiti+VIT,eiti,vietos
katė eiti namai,telegrafinis,GYV+eiti+VIT,eiti,vietos
katė eiti virtuvė,telegrafinis,GYV+eiti+VIT,eiti,kambariai
katė eiti svetainė,telegrafinis,GYV+eiti+VIT,eiti,kambariai
katė valgyti obuolys,telegrafinis,GYV+valgyti+OBJ,valgyti,maistas
katė valgyti sumuštinis,telegrafinis,GYV+valgyti+OBJ,valgyti,maistas
katė gerti vanduo,telegrafinis,GYV+gerti+vanduo,gerti,gėrimai
katė žaisti kamuolys,telegrafinis,GYV+žaisti+OBJ,žaisti,objektai
katė žaisti žaislas,telegrafinis,GYV+žaisti+OBJ,žaisti,objektai
katė žaisti mama,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
katė žaisti tėtis,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
katė žaisti draugas,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
katė žaisti mokytoja,telegrafinis,GYV+žaisti+ZM,žaisti,žmonės
katė žaisti aš,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
katė žaisti tu,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
katė žaisti jis,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
katė žaisti ji,telegrafinis,GYV+žaisti+ZM,žaisti,įvardžiai
katė žaisti šuo,telegrafinis,GYV+žaisti+GYV,žaisti,gyvūnai
šuo žaisti katė,telegrafinis,GYV+žaisti+GYV,žaisti,gyvūnai
aš eiti mokykla skaityti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti mokykla žaisti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti mokykla kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti mokykla laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti mokykla žiūrėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti mokykla piešti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti kiemas žaisti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti kiemas laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti kiemas kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti kiemas piešti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai valgyti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai gerti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai žaisti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai skaityti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai žiūrėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai piešti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti namai miegoti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti parduotuvė laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti parduotuvė kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
aš eiti svetainė žiūrėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė žaisti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė skaityti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė valgyti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti svetainė miegoti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti virtuvė valgyti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti virtuvė gerti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
aš eiti tualetas laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,kambariai
tu eiti mokykla skaityti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
tu eiti mokykla žaisti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
tu eiti mokykla kalbėti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
tu eiti mokykla laukti,telegrafinis,VEK+eiti+VIT+VKS,eiti,vietos
